Student ID :,,,,,,12438111
Name:,,,,,,จอห์น โดว
Class:,,,,,,A1
DateTime:,,,,,,2025-03-02T12:00:00+07:00
,,,,,,
Title,Normal Labour ฉาก  ทำคลอดทารก,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,สวมถุงมือ Sterlize 1 คะแนน,1,0,,,T1
2,บีบน้ำยา Hibitane cream ในมือที่ใช้ตรวจภายใน 1 คะแนน,1,0,,,T2
3,สอดนิ้วเข้าไปทีละนิ้วในแนวตั้ง นิ้วกลาง นิ้วชี้ 1 คะแนน,1,0,,,T3
4,หงายมือ 1 คะแนน,1,0,,,T4
5,ประเมินชนิดของส่วนนํา พบเป็น Vertex presentation 1 คะแนน,1,0,,,T5
6,ประเมินการเปิดขยายของปากมดลูก พบ Cervical dilatation 3 cm 1 คะแนน,1,0,,,T6
7,ประเมิน effacement ความบางของปากมดลูก พบบางที่ 50% 1 คะแนน,1,0,,,T7
8,ประเมินถุงน้ำ ถุงน้ํายังอยู่ 1 คะแนน,1,0,,,T8
9,ประเมินท่าทารก ท่าทารกเป็นท่า ROA 1 คะแนน,1,0,,,T9
10,หลังจากนั้นประเมิน station พบ station สูงกว่า Ischial Spine 1 cm. 1 คะแนน,1,0,,,T10
11,ถอยมือออกมาในแนวตั้ง 1 คะแนน,1,0,,,T21
Summary,Score Summary Normal Labour ฉาก  ประเมินความก้าวหน้าการคลอด Case A ROA 3 cm,,,,,
,,,,,,
Title,Normal Labour ฉาก  ทำคลอดทารก ROA,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,สวมถุงมือ Sterlize 1 คะแนน,1,0,,,T1
2,บีบน้ำยา Hibitane cream ในมือที่ใช้ตรวจภายใน 1 คะแนน,1,0,,,T2
3,สอดนิ้วเข้าไปทีละนิ้วในแนวตั้ง นิ้วกลาง นิ้วชี้ 1 คะแนน,1,0,,,T3
4,หงายมือ 1 คะแนน,1,0,,,T4
5,ประเมินชนิดของส่วนนํา พบเป็น Vertex presentation 1 คะแนน,1,0,,,T5
6,ประเมินการเปิดขยายของปากมดลูก 4 cm 1 คะแนน,1,0,,,T11
7,ประเมิน effacement ความบางของปากมดลูก พบบางที่ 70% 1 คะแนน,1,0,,,T12
8,ประเมินถุงน้ำ ถุงน้ํายังอยู่ MI 1 คะแนน,1,0,,,T13
9,ประเมินท่าทารก ท่าทารกเป็นท่า LOA 1 คะแนน,1,0,,,T14
10,หลังจากนั้นประเมิน station พบ station อยู่ระดับเดียวกันกับ Ischial Spine Station 0 1 คะแนน,1,0,,,T15
11,ถอยมือออกมาในแนวตั้ง 1 คะแนน,1,0,,,T21
Summary,Score Summary Normal Labour ฉาก  ประเมินความก้าวหน้าการคลอด Case B LOA 4 cm,,,,,
,,,,,,
Title,Normal Labour ฉาก  ทำคลอดทารก ROA,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,สวมถุงมือ Sterlize 1 คะแนน,1,0,,,T1
2,บีบน้ำยา Hibitane cream ในมือที่ใช้ตรวจภายใน 1 คะแนน,1,0,,,T2
3,สอดนิ้วเข้าไปทีละนิ้วในแนวตั้ง นิ้วกลาง นิ้วชี้ 1 คะแนน,1,0,,,T3
4,หงายมือ 1 คะแนน,1,0,,,T4
5,ประเมินชนิดของส่วนนํา พบเป็น Vertex presentation 1 คะแนน,1,0,,,T5
6,ประเมินการเปิดขยายของปากมดลูก พบ Cervical fully dilatation 10 cm. 1 คะแนน,1,0,,,T16
7,ประเมิน effacement ความบางของปากมดลูก พบบางที่ 100% ไม่พบ effacement 1 คะแนน,1,0,,,T17
8,ประเมินถุงน้ำ ถุงน้ําแตกแล้ว MR 1 คะแนน,1,0,,,T18
9,ประเมินท่าทารก suture อยู่ในแนวตรง ท่าทารกเป็นท่า OA 1 คะแนน,1,0,,,T19
10,หลังจากนั้นประเมิน station พบ station ส่วนนําต่ํากว่า Ischial Spine Station 1 cm. 1 คะแนน,1,0,,,T20
11,ถอยมือออกมาในแนวตั้ง 1 คะแนน,1,0,,,T21
Summary,Score Summary Normal Labour ฉาก  ประเมินความก้าวหน้าการคลอด Case C OA 10 cm,,,,,
,,,,,,
Title,Normal Labour ฉาก  จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,"ตรวจสอบวันหมดอายุบนฉลาก เปิดเซ็ตอุปกรณ์ทำคลอดตามหลักสเตอไรด์ (Animation) 
หยิบ Transfer forceps ไปพักไว้ในเซ็ตกะละมังคลอด / 1 คะแนน",1,1,2025-03-02T12:13:00+07:00,2025-03-02T12:13:20+07:00,T22
2,เปิดเซ็ตห่อผ้า ชั้นนอก ด้วยมือ / 1 คะแนน,1,1,,,T23
3,เปิดเซ็ตผ้า ชั้นใน ด้วย Transfer forceps / 1 คะแนน,1,1,,,T24
